id,year,bankname,w1,w2,w3,y1,y2,CHHI,THHI,esg,mesg,mdesg,mmesg,t,lnw2,lnw3,lny1,lny2,lnw2_lnw3,lnw2_lny1,lnw2_lny2,lnw3_lny1,lnw3_lny2,lny1_lny2,_t,_t_lnw2,_t_lnw3,_t_lny1,_t_lny2,_t_2,lnw2_2,lnw3_2,lny1_2,lny2_2,mw1,CHHI_esg,THHI_esg,CHHI_mesg,THHI_mesg,CHHI_mdesg,THHI_mdesg,CHHI_mmesg,THHI_mmesg,msize_THHI,mTHHI,mTHHI_mdesg
3,2015,中国银行,0.654834,0.004777,0.017032,4.80E+12,9.10E+12,2.3,14,79.76,0,0,0,3,0.06927593,-0.21861963,1.0963012,1.2745954,-0.00757254,0.03797364,0.04414939,-0.11983648,-0.13932579,0.69867024,-2.5,-0.08659491,0.27327454,-1.3703765,-1.5932442,3.125,0.00239958,0.02389727,0.60093817,0.81229671,0.42337351,183.448,1116.64,0,0,0,0,0,0,14.37,-0.37,0
3,2016,中国银行,0.568469,0.004467,0.014331,5.40E+12,1.00E+13,2.3,14.2,80.63,1,1,0,4,0.00218024,-0.39128853,1.2140842,1.3689061,-0.00042655,0.0013235,0.00149227,-0.23752862,-0.26781863,0.83098365,-1.5,-0.00163518,0.2934664,-0.91056319,-1.0266796,1.125,2.38E-06,0.07655336,0.73700028,0.93695192,0.5648085,185.449,1144.946,2.3,14.2,2.3,14.2,0,0,14.37,-0.17,-0.17
3,2017,中国银行,0.556407,0.004215,0.0146,5.90E+12,1.10E+13,3.8,17.4,81.22,1,1,0,5,-0.05588721,-0.37269203,1.3026376,1.4642163,0.01041436,-0.03640039,-0.04091548,-0.24274133,-0.27285086,0.95367161,-0.5,0.0139718,0.09317301,-0.32565941,-0.36605406,0.125,0.00156169,0.06944967,0.84843242,1.0719646,0.58625524,308.636,1413.228,3.8,17.4,3.8,17.4,0,0,14.37,3.03,3.03
3,2018,中国银行,0.477568,0.004015,0.015432,6.80E+12,1.20E+13,3.6,15.3,76.33,0,0,0,6,-0.10449946,-0.31727028,1.4446079,1.5512276,0.01657729,-0.07548037,-0.08105122,-0.22916558,-0.24607921,1.1204578,0.5,-0.02612486,-0.07931757,0.36115198,0.38780691,0.125,0.00546007,0.05033022,1.043446,1.2031536,0.73904872,274.788,1167.849,0,0,0,0,0,0,14.37,0.93,0
3,2019,中国银行,0.546103,0.003986,0.01616,7.20E+12,1.30E+13,3.2,14.5,75.08,0,0,0,7,-0.11174858,-0.2711745,1.5017663,1.6312703,0.01515168,-0.08391013,-0.09114607,-0.20362037,-0.22117946,1.2248934,1.5,-0.08381144,-0.20338088,1.1263247,1.2234528,1.125,0.00624387,0.03676781,1.127651,1.3305215,0.60494768,240.256,1088.66,0,0,0,0,0,0,14.37,0.13,0
3,2020,中国银行,0.577894,0.003661,0.014103,7.70E+12,1.40E+13,2.8,13.9,75.54,0,0,0,8,-0.19680047,-0.40732602,1.5689056,1.7053783,0.04008098,-0.15438068,-0.16780963,-0.31952804,-0.34732248,1.3377888,2.5,-0.24600059,-0.50915752,1.961132,2.1317229,3.125,0.01936521,0.08295724,1.2307324,1.4541576,0.54836482,211.512,1050.006,0,0,0,0,0,0,14.37,-0.47,0
3,2021,中国银行,0.644546,0.003717,0.013634,8.30E+12,1.60E+13,2.3,12.8,83.92,1,1,1,9,-0.18161991,-0.44114688,1.6439408,1.8389097,0.04006053,-0.14928619,-0.16699131,-0.36260968,-0.40561464,1.5115294,3.5,-0.31783485,-0.77200705,2.8768964,3.218092,6.125,0.0164929,0.09730529,1.3512707,1.6907944,0.43920909,193.016,1074.176,2.3,12.8,2.3,12.8,2.3,12.8,14.37,-1.57,-1.57
3,2022,中国银行,0.65589,0.003554,0.014581,8.80E+12,1.80E+13,2.2,12.7,85.04,1,1,1,10,-0.22646307,-0.37399425,1.702437,1.9566927,0.04234794,-0.19276956,-0.22155933,-0.31835082,-0.36589591,1.6655731,4.5,-0.50954192,-0.84148705,3.8304833,4.4025587,10.125,0.02564276,0.06993585,1.4491459,1.9143232,0.42176219,187.088,1080.008,2.2,12.7,2.2,12.7,2.2,12.7,14.37,-1.67,-1.67
4,2013,交通银行,0.741444,0.003773,0.021579,1.70E+12,3.30E+12,1.55,13.67,85,1,1,1,1,-0.16666636,0.01800706,0.05831354,0.26024345,-0.00150059,-0.00485945,-0.02168691,0.00052503,0.00234311,0.00758786,-4.5,0.37499932,-0.04051589,-0.13120547,-0.58554776,10.125,0.01388884,0.00016213,0.00170023,0.03386333,0.29915564,131.75,1161.95,1.55,13.67,1.55,13.67,1.55,13.67,14.621,-0.951,-0.951
4,2014,交通银行,0.625238,0.003939,0.024525,1.70E+12,3.40E+12,1.5,11.46,84.5,1,1,1,2,-0.12360992,0.14597945,0.05831354,0.29009641,-0.00902225,-0.00360407,-0.0179294,0.00425629,0.02117406,0.00845828,-3.5,0.21631736,-0.25546404,-0.1020487,-0.50766872,6.125,0.00763971,0.010655,0.00170023,0.04207796,0.4696229,126.75,968.37,1.5,11.46,1.5,11.46,1.5,11.46,14.621,-3.161,-3.161
